rank,rating_rank,num_rating_rank,author,title,pub_year,orig_lang,gr_avg_rating,gr_num_ratings,gr_num_reviews,oclc_marc_url,wiki_url,gr_url,pg_eng_url,pg_orig_url
57,29,81,L.M. Montgomery,Anne of Green Gables,1908,English,4.31,"971,942","38,454",https://www.worldcat.org/oclc/10134124,https://en.wikipedia.org/wiki/Anne_of_Green_Gables,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables?ref=nav_sb_ss_1_20,https://www.gutenberg.org/cache/epub/45/pg45.txt,NA
58,235,204,Anna Sewell,Black Beauty,1877,English,3.99,"277,174","6,704",https://www.worldcat.org/oclc/35718547,https://en.wikipedia.org/wiki/Black_Beauty,https://www.goodreads.com/book/show/3685.Black_Beauty?ref=nav_sb_ss_1_12,https://www.gutenberg.org/cache/epub/271/pg271.txt,NA
59,187,179,J.M. Barrie,Peter Pan,1911,English,4.04,"345,693","16,296",https://www.worldcat.org/oclc/24661812,https://en.wikipedia.org/wiki/Peter_and_Wendy,https://www.goodreads.com/book/show/34268.Peter_Pan?ref=nav_sb_ss_1_9,https://www.gutenberg.org/cache/epub/16/pg16.txt,NA
60,383,187,Ernest Hemingway,A Farewell to Arms,1929,English,3.82,"320,119","13,881",https://www.worldcat.org/oclc/36103848,https://en.wikipedia.org/wiki/A_Farewell_to_Arms,https://www.goodreads.com/book/show/10799.A_Farewell_to_Arms?ref=nav_sb_ss_1_18,NA_not-pub-domain,NA
61,490,410,Nathaniel Hawthorne,The House of the Seven Gables,1851,English,3.45,"39,746","2,861",https://www.worldcat.org/oclc/520078,https://en.wikipedia.org/wiki/The_House_of_the_Seven_Gables,https://www.goodreads.com/book/show/90192.The_House_of_the_Seven_Gables?ref=nav_sb_ss_1_29,https://www.gutenberg.org/cache/epub/77/pg77.txt,NA
62,444,27,William Golding,Lord of the Flies,1954,English,3.69,"2,888,642","55,326",https://www.worldcat.org/oclc/364695,https://en.wikipedia.org/wiki/Lord_of_the_Flies,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies?ref=nav_sb_ss_1_17,NA_not-pub-domain,NA
63,344,296,Mark Twain,The Prince and the Pauper,1881,English,3.87,"119,064","2,806",https://www.worldcat.org/oclc/9758716,https://en.wikipedia.org/wiki/The_Prince_and_the_Pauper,https://www.goodreads.com/book/show/62446.The_Prince_and_the_Pauper?ref=nav_sb_ss_1_25,https://www.gutenberg.org/cache/epub/1837/pg1837.txt,NA
64,464,273,James Joyce,A Portrait of the Artist as a Young Man,1916,English,3.64,"151,213","7,577",https://www.worldcat.org/oclc/52149240,https://en.wikipedia.org/wiki/A_Portrait_of_the_Artist_as_a_Young_Man,https://www.goodreads.com/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man?ref=nav_sb_ss_1_39,https://www.gutenberg.org/cache/epub/4217/pg4217.txt,NA
65,470,432,Joseph Conrad,Lord Jim,1900,English,3.62,"30,981","1,687",https://www.worldcat.org/oclc/706626,https://en.wikipedia.org/wiki/Lord_Jim,https://www.goodreads.com/book/show/12194.Lord_Jim?ref=nav_sb_ss_1_8,https://www.gutenberg.org/cache/epub/5658/pg5658.txt,NA
66,14,11,J.K. Rowling,Harry Potter and the Chamber of Secrets,1998,English,4.43,"3,895,830","78,904",https://www.worldcat.org/oclc/40043650,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Chamber_of_Secrets,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets?ref=nav_sb_ss_1_39,NA_not-pub-domain,NA
67,345,354,Stendhal,The Red & the Black,1830,French,3.87,"74,618","3,236",https://www.worldcat.org/oclc/178,https://en.wikipedia.org/wiki/The_Red_and_the_Black,https://www.goodreads.com/book/show/14662.The_Red_and_the_Black?ref=nav_sb_ss_1_19,https://www.gutenberg.org/cache/epub/44747/pg44747.txt,https://www.gutenberg.org/cache/epub/798/pg798.txt
68,199,79,Albert Camus,The Stranger,1942,French,4.02,"1,080,389","48,517",https://www.worldcat.org/oclc/18681559,https://en.wikipedia.org/wiki/The_Stranger_(Camus_novel),https://www.goodreads.com/book/show/49552.The_Stranger?ref=nav_sb_ss_1_12,NA_not-pub-domain,unavailable
69,263,185,Franz Kafka,The Trial,1925,German,3.96,"322,494","14,247",https://www.worldcat.org/title/trial/oclc/1039899257?referer=di&ht=edition,https://en.wikipedia.org/wiki/The_Trial,https://www.goodreads.com/book/show/17690.The_Trial?ref=nav_sb_ss_2_9,https://www.gutenberg.org/cache/epub/7849/pg7849.txt,https://www.gutenberg.org/cache/epub/69327/pg69327.txt
70,486,294,D.H. Lawrence,Lady Chatterley's Lover,1928,English,3.5,"124,934","7,700",https://www.worldcat.org/oclc/27813109,https://en.wikipedia.org/wiki/Lady_Chatterley%27s_Lover,https://www.goodreads.com/book/show/32049.Lady_Chatterley_s_Lover?ref=nav_sb_ss_1_23,NA_unavailable,NA
71,398,369,Robert Louis Stevenson,Kidnapped: The Adventures of David Balfour,1886,English,3.79,"64,477","2,559",https://www.worldcat.org/oclc/8387857,https://en.wikipedia.org/wiki/Kidnapped_(novel),https://www.goodreads.com/book/show/43186363-kidnapped?ref=nav_sb_ss_1_42,https://www.gutenberg.org/cache/epub/421/pg421.txt,NA
72,392,16,J.D. Salinger,The Catcher in the Rye,1951,English,3.8,"3,503,812","84,269",https://www.worldcat.org/oclc/23741064,https://en.wikipedia.org/wiki/The_Catcher_in_the_Rye,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye?from_search=true&from_srp=true&qid=cmOhlqqyD1&rank=1,NA_not-pub-domain,NA
73,255,35,Ray Bradbury,Fahrenheit 451,1953,English,3.97,"2,397,851","73,042",https://www.worldcat.org/title/fahrenheit-451/oclc/35972278,https://en.wikipedia.org/wiki/Fahrenheit_451,https://www.goodreads.com/book/show/13079982-fahrenheit-451?ref=nav_sb_ss_1_14,NA_not-pub-domain,NA
74,358,238,Jules Verne,A Journey to the Center of the Earth,1864,French,3.85,"199,026","8,524",https://www.worldcat.org/oclc/2360175,https://en.wikipedia.org/wiki/Journey_to_the_Center_of_the_Earth,https://www.goodreads.com/book/show/32829.Journey_to_the_Center_of_the_Earth,https://www.gutenberg.org/cache/epub/18857/pg18857.txt,https://www.gutenberg.org/cache/epub/4791/pg4791.txt
75,393,288,William Makepeace Thackeray,Vanity Fair,1848,English,3.8,"127,840","4,451",https://www.worldcat.org/oclc/24216633,https://en.wikipedia.org/wiki/Vanity_Fair_(novel),https://www.goodreads.com/book/show/5797.Vanity_Fair?ref=nav_sb_ss_1_11,https://www.gutenberg.org/cache/epub/599/pg599.txt,NA
76,164,151,Erich Maria Remarque,All Quiet on the Western Front,1929,German,4.07,"456,883","17,865",https://www.worldcat.org/title/all-quiet-on-the-western-front/oclc/988926376,https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front,https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front?ref=nav_sb_ss_1_30,NA_not-pub-domain,unavailable
77,30,71,Margaret Mitchell,Gone with the Wind,1936,English,4.31,"1,205,120","24,146",https://www.worldcat.org/oclc/290058,https://en.wikipedia.org/wiki/Gone_with_the_Wind_(novel),https://www.goodreads.com/book/show/18405.Gone_with_the_Wind?ref=nav_sb_ss_1_18,NA_not-pub-domain,NA
78,375,279,Willa Cather,My Ántonia,1918,English,3.83,"137,245","9,062",https://www.worldcat.org/oclc/2932044,https://en.wikipedia.org/wiki/My_%C3%81ntonia,https://www.goodreads.com/book/show/17150.My_ntonia?ref=nav_sb_ss_1_10,https://www.gutenberg.org/cache/epub/242/pg242.txt,NA
79,332,32,John Steinbeck,Of Mice and Men,1937,English,3.88,"2,529,003","52,115",https://www.worldcat.org/oclc/29187600,https://en.wikipedia.org/wiki/Of_Mice_and_Men,https://www.goodreads.com/book/show/890.Of_Mice_and_Men?ref=nav_sb_ss_1_15,NA_not-pub-domain,NA
80,489,485,Oliver Goldsmith,The Vicar of Wakefield,1766,English,3.46,"10,125",662,https://www.worldcat.org/title/vicar-of-wakefield/oclc/1035400963,https://en.wikipedia.org/wiki/The_Vicar_of_Wakefield,https://www.goodreads.com/book/show/112510.The_Vicar_of_Wakefield?ref=nav_sb_ss_1_22,https://www.gutenberg.org/cache/epub/2667/pg2667.txt,NA
81,411,316,Mark Twain,A Connecticut Yankee in King Arthur's Court,1889,English,3.77,"103,170","3,887",https://www.worldcat.org/title/connecticut-yankee-in-king-arthurs-court/oclc/751833722,https://en.wikipedia.org/wiki/A_Connecticut_Yankee_in_King_Arthur%27s_Court,https://www.goodreads.com/book/show/162898.A_Connecticut_Yankee_in_King_Arthur_s_Court?ref=nav_sb_ss_1_43,https://www.gutenberg.org/cache/epub/86/pg86.txt,NA
82,200,246,Jack London,White Fang,1906,English,4.02,"189,034","6,305",https://www.worldcat.org/title/white-fang/oclc/45749411,https://en.wikipedia.org/wiki/White_Fang,https://www.goodreads.com/book/show/43035.White_Fang?ref=nav_sb_ss_1_10,https://www.gutenberg.org/cache/epub/910/pg910.txt,NA
83,236,338,Ivan Sergeevich Turgenev,Fathers and Sons,1862,Russian,3.99,"88,818","4,073",https://www.worldcat.org/oclc/2913827,https://en.wikipedia.org/wiki/Fathers_and_Sons_(novel),https://www.goodreads.com/book/show/19117.Fathers_and_Sons?ref=nav_sb_ss_1_16,https://www.gutenberg.org/cache/epub/47935/pg47935.txt,unavailable
84,215,326,Boris Leonidovich Pasternak,Doctor Zhivago,1957,Russian,4.01,"96,443","4,363",https://www.worldcat.org/oclc/321288,https://en.wikipedia.org/wiki/Doctor_Zhivago_(novel),https://www.goodreads.com/book/show/130440.Doctor_Zhivago?ref=nav_sb_ss_1_14,NA_not-pub-domain,unavailable
85,333,409,Giovanni Boccaccio,The Decameron,1351,Italian,3.88,"39,870","1,910",https://www.worldcat.org/oclc/571737,https://en.wikipedia.org/wiki/The_Decameron,https://www.goodreads.com/book/show/51799.The_Decameron?ref=nav_sb_ss_1_13,https://www.gutenberg.org/cache/epub/23700/pg23700.txt,unavailable
86,77,7,George Orwell,Nineteen Eighty-Four,1949,English,4.19,"4,558,358","113,880",https://www.worldcat.org/oclc/366581,https://en.wikipedia.org/wiki/Nineteen_Eighty-Four,https://www.goodreads.com/book/show/5471.Nineteen_Eighty_Four?from_search=true&from_srp=true&qid=Exz83MvWKn&rank=1,NA_not-pub-domain,NA
87,412,274,Upton Sinclair,The Jungle,1906,English,3.77,"144,955","7,162",https://www.worldcat.org/oclc/11518899,https://en.wikipedia.org/wiki/The_Jungle,https://www.goodreads.com/book/show/41681.The_Jungle?ref=nav_sb_ss_1_10,https://www.gutenberg.org/cache/epub/140/pg140.txt,NA
88,311,37,Dan Brown,The Da Vinci Code,2003,English,3.91,"2,341,900","54,616",https://www.worldcat.org/oclc/50920659,https://en.wikipedia.org/wiki/The_Da_Vinci_Code,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code?ref=nav_sb_ss_1_17,NA_not-pub-domain,NA
89,101,115,Jane Austen,Persuasion,1818,English,4.15,"697,703","32,466",https://www.worldcat.org/title/persuasion/oclc/1005120661,https://en.wikipedia.org/wiki/Persuasion_(novel),https://www.goodreads.com/book/show/2156.Persuasion?ref=nav_sb_ss_1_10,https://www.gutenberg.org/cache/epub/105/pg105.txt,NA
90,350,178,Jane Austen,Mansfield Park,1814,English,3.86,"347,543","14,726",https://www.worldcat.org/oclc/25315838,https://en.wikipedia.org/wiki/Mansfield_Park,https://www.goodreads.com/book/show/45032.Mansfield_Park?ref=nav_sb_ss_1_14,https://www.gutenberg.org/cache/epub/141/pg141.txt,NA
91,416,205,Voltaire,Candide,1759,French,3.76,"274,958","11,453",https://www.worldcat.org/oclc/21483775,https://en.wikipedia.org/wiki/Candide,https://www.goodreads.com/book/show/19380.Candide?ref=nav_sb_ss_1_7,https://www.gutenberg.org/cache/epub/19942/pg19942.txt,https://www.gutenberg.org/cache/epub/4650/pg4650.txt
92,246,199,Ernest Hemingway,For Whom the Bell Tolls,1940,English,3.98,"292,256","8,891",https://www.worldcat.org/title/for-whom-the-bell-tolls/oclc/878794199,https://en.wikipedia.org/wiki/For_Whom_the_Bell_Tolls,https://www.goodreads.com/book/show/46170.For_Whom_the_Bell_Tolls?ref=nav_sb_ss_1_23,NA_not-pub-domain,NA
93,264,271,Thomas Hardy,Far from the Madding Crowd,1874,English,3.96,"152,559","8,220",https://www.worldcat.org/title/far-from-the-madding-crowd/oclc/54347777,https://en.wikipedia.org/wiki/Far_from_the_Madding_Crowd,https://www.goodreads.com/book/show/31463.Far_From_the_Madding_Crowd?ref=nav_sb_ss_1_26,https://www.gutenberg.org/cache/epub/107/pg107.txt,NA
94,17,28,J.R.R. Tolkien,The Fellowship of the Ring,1954,English,4.39,"2,795,660","38,982",https://www.worldcat.org/title/fellowship-of-the-ring-being-the-first-part-of-the-lord-of-the-rings/oclc/772099494,https://en.wikipedia.org/wiki/The_Fellowship_of_the_Ring,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring?ref=nav_sb_ss_1_26,NA_not-pub-domain,NA
95,346,414,Thomas Hardy,The Return of the Native,1878,English,3.87,"38,401","1,995",https://www.worldcat.org/title/return-of-the-native/oclc/31717459,https://en.wikipedia.org/wiki/The_Return_of_the_Native,https://www.goodreads.com/book/show/32650.The_Return_of_the_Native?ref=nav_sb_ss_1_24,https://www.gutenberg.org/cache/epub/122/pg122.txt,NA
96,465,390,D.H. Lawrence,Sons and Lovers,1913,English,3.64,"52,987","2,451",https://www.worldcat.org/title/sons-lovers/oclc/993646053,https://en.wikipedia.org/wiki/Sons_and_Lovers,https://www.goodreads.com/book/show/32071.Sons_and_Lovers?ref=nav_sb_ss_1_15,https://www.gutenberg.org/cache/epub/217/pg217.txt,NA
97,70,45,E.B. White,Charlotte's Web,1952,English,4.2,"1,821,579","23,617",https://www.worldcat.org/title/charlottes-web/oclc/968627956,https://en.wikipedia.org/wiki/Charlotte%27s_Web,https://www.goodreads.com/book/show/24178.Charlotte_s_Web?ref=nav_sb_ss_1_15,NA_not-pub-domain,NA
98,312,312,Johann David Wyss,The Swiss Family Robinson,1812,German,3.91,"105,769","2,996",https://www.worldcat.org/title/swiss-family-robinson/oclc/1035511153?referer=di&ht=edition,https://en.wikipedia.org/wiki/The_Swiss_Family_Robinson,https://www.goodreads.com/book/show/62111.The_Swiss_Family_Robinson?ref=nav_sb_ss_1_25,https://www.gutenberg.org/cache/epub/11703/pg11703.txt,unavailable
99,201,309,Charles Dickens,Bleak House,1853,English,4.02,"108,341","5,462",https://www.worldcat.org/title/bleak-house/oclc/925408627,https://en.wikipedia.org/wiki/Bleak_House,https://www.goodreads.com/book/show/31242.Bleak_House?ref=nav_sb_ss_1_11,https://www.gutenberg.org/cache/epub/1023/pg1023.txt,NA
100,359,378,Honoré de Balzac,Père Goriot,1835,French,3.85,"59,008","2,901",https://www.worldcat.org/title/pere-goriot/oclc/1035416903,https://en.wikipedia.org/wiki/P%C3%A8re_Goriot,https://www.goodreads.com/book/show/59145.P_re_Goriot?ref=nav_sb_ss_1_11,https://www.gutenberg.org/cache/epub/1237/pg1237.txt,unavailable
101,480,353,Thomas More,Utopia,1516,Latin,3.55,"74,619","4,255",https://www.worldcat.org/oclc/1013891,https://en.wikipedia.org/wiki/Utopia_(book),https://www.goodreads.com/book/show/18414.Utopia?from_search=true&from_srp=true&qid=ngtDZbPNwH&rank=2,https://www.gutenberg.org/cache/epub/2130/pg2130.txt,unavailable
102,422,429,Henry Fielding,"The History of Tom Jones, a Foundling",1749,English,3.75,"33,358","1,333",https://www.worldcat.org/oclc/24065522,"https://en.wikipedia.org/wiki/The_History_of_Tom_Jones,_a_Foundling",https://www.goodreads.com/book/show/99329.The_History_of_Tom_Jones_a_Foundling?ref=nav_sb_ss_1_37,https://www.gutenberg.org/cache/epub/6593/pg6593.txt,NA
103,2,9,J.K. Rowling,Harry Potter and the Prisoner of Azkaban,1999,English,4.58,"4,146,575","83,149",https://www.worldcat.org/oclc/41266045,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban?from_search=true&from_srp=true&qid=kpy1qZNbJq&rank=1,NA_not-pub-domain,NA
104,437,418,Rudyard Kipling,Kim,1901,English,3.7,"37,537","2,276",https://www.worldcat.org/oclc/28098654,https://en.wikipedia.org/wiki/Kim_(novel),https://www.goodreads.com/book/show/210834.Kim?ref=nav_sb_ss_1_11,https://www.gutenberg.org/cache/epub/2226/pg2226.txt,NA
105,351,255,William Faulkner,The Sound and the Fury,1929,English,3.86,"181,324","9,253",https://www.worldcat.org/oclc/21525355,https://en.wikipedia.org/wiki/The_Sound_and_the_Fury,https://www.goodreads.com/book/show/10975.The_Sound_and_the_Fury?ref=nav_sb_ss_1_22,NA_not-pub-domain,NA
106,4,14,J.K. Rowling,Harry Potter and the Goblet of Fire,2000,English,4.57,"3,665,172","68,527",https://www.worldcat.org/oclc/44504637,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Goblet_of_Fire,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire?ref=nav_sb_ss_1_35,NA_not-pub-domain,NA
107,384,385,George Eliot,The Mill on the Floss,1860,English,3.82,"55,099","2,859",https://www.worldcat.org/oclc/51841230,https://en.wikipedia.org/wiki/The_Mill_on_the_Floss,https://www.goodreads.com/book/show/20564.The_Mill_on_the_Floss?ref=nav_sb_ss_1_21,https://www.gutenberg.org/cache/epub/6688/pg6688.txt,NA
108,247,72,Madeleine L'Engle,A Wrinkle in Time,1962,English,3.98,"1,197,521","39,424",https://www.worldcat.org/oclc/22421788,https://en.wikipedia.org/wiki/A_Wrinkle_in_Time,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time?ref=nav_sb_ss_1_17,NA_not-pub-domain,NA
109,116,181,Arthur Conan Doyle,The Hound of the Baskervilles,1902,English,4.13,"343,048","12,213",https://www.worldcat.org/oclc/46640654,https://en.wikipedia.org/wiki/The_Hound_of_the_Baskervilles,https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles?ref=nav_sb_ss_1_29,https://www.gutenberg.org/cache/epub/2852/pg2852.txt,NA
110,8,83,J.R.R. Tolkien,The Two Towers,1954,English,4.48,"960,309","19,045",https://www.worldcat.org/oclc/938822,https://en.wikipedia.org/wiki/The_Two_Towers,https://www.goodreads.com/book/show/61215372-the-two-towers?ref=nav_sb_ss_1_14,NA_not-pub-domain,NA
111,376,189,H.G. Wells,The War of the Worlds,1898,English,3.83,"312,138","12,123",https://www.worldcat.org/oclc/57382310,https://en.wikipedia.org/wiki/The_War_of_the_Worlds,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds?ref=nav_sb_ss_1_21,https://www.gutenberg.org/cache/epub/36/pg36.txt,NA
112,202,264,George Eliot,Middlemarch,1872,English,4.02,"161,972","10,975",https://www.worldcat.org/oclc/30130442,https://en.wikipedia.org/wiki/Middlemarch,https://www.goodreads.com/book/show/19089.Middlemarch?ref=nav_sb_ss_1_11,https://www.gutenberg.org/cache/epub/145/pg145.txt,NA
113,265,259,Edith Wharton,The Age of Innocence,1920,English,3.96,"172,989","10,251",https://www.worldcat.org/oclc/752624,https://en.wikipedia.org/wiki/The_Age_of_Innocence,https://www.goodreads.com/book/show/53835.The_Age_of_Innocence?ref=nav_sb_ss_1_20,https://www.gutenberg.org/cache/epub/541/pg541.txt,NA
114,44,120,Alice Walker,The Color Purple,1982,English,4.27,"679,776","25,378",https://www.worldcat.org/oclc/8221433,https://en.wikipedia.org/wiki/The_Color_Purple,https://www.goodreads.com/book/show/52892857-the-color-purple?ref=nav_sb_ss_1_16,NA_not-pub-domain,NA
115,360,165,Jane Austen,Northanger Abbey,1818,English,3.85,"398,340","21,067",https://www.worldcat.org/oclc/25631854,https://en.wikipedia.org/wiki/Northanger_Abbey,https://www.goodreads.com/book/show/50398.Northanger_Abbey?ref=nav_sb_ss_1_16,https://www.gutenberg.org/cache/epub/121/pg121.txt,NA
116,16,140,John Steinbeck,East of Eden,1952,English,4.41,"535,229","29,065",https://www.worldcat.org/oclc/48177186,https://en.wikipedia.org/wiki/East_of_Eden_(novel),https://www.goodreads.com/book/show/4406.East_of_Eden?ref=nav_sb_ss_1_12,NA_not-pub-domain,NA
117,471,162,Jack Kerouac,On the Road,1957,English,3.61,"409,488","19,595",https://www.worldcat.org/oclc/36597852,https://en.wikipedia.org/wiki/On_the_Road,https://www.goodreads.com/book/show/70401.On_the_Road?ref=nav_sb_ss_1_11,NA_not-pub-domain,NA
118,237,99,Joseph Heller,Catch-22,1961,English,3.99,"828,780","23,316",https://www.worldcat.org/oclc/271160,https://en.wikipedia.org/wiki/Catch-22,https://www.goodreads.com/book/show/168668.Catch_22?ref=nav_sb_ss_1_8,NA_not-pub-domain,NA
119,285,224,Jules Verne,Around the World in Eighty Days,1873,French,3.94,"246,234","11,023",https://www.worldcat.org/oclc/34726054,https://en.wikipedia.org/wiki/Around_the_World_in_Eighty_Days,https://www.goodreads.com/book/show/54479.Around_the_World_in_Eighty_Days?ref=nav_sb_ss_1_31,https://www.gutenberg.org/cache/epub/103/pg103.txt,https://www.gutenberg.org/cache/epub/800/pg800.txt
120,482,364,Charles Dickens,Hard Times,1854,English,3.54,"68,020","4,209",https://www.worldcat.org/oclc/25315902,https://en.wikipedia.org/wiki/Hard_Times_(novel),https://www.goodreads.com/book/show/5344.Hard_Times?from_search=true&from_srp=true&qid=o2qlWm2Fwt&rank=1,https://www.gutenberg.org/cache/epub/786/pg786.txt,NA
121,276,158,Toni Morrison,Beloved,1987,English,3.95,"431,996","21,086",https://www.worldcat.org/oclc/15284982,https://en.wikipedia.org/wiki/Beloved_(novel),https://www.goodreads.com/book/show/6149.Beloved?ref=nav_sb_ss_1_7,NA_not-pub-domain,NA
122,399,193,Virginia Woolf,Mrs. Dalloway,1925,English,3.79,"303,770","18,117",https://www.worldcat.org/oclc/297396,https://en.wikipedia.org/wiki/Mrs_Dalloway,https://www.goodreads.com/book/show/14942.Mrs_Dalloway?ref=nav_sb_ss_1_13,https://www.gutenberg.org/cache/epub/71865/pg71865.txt,NA
123,394,254,Virginia Woolf,To the Lighthouse,1927,English,3.8,"181,798","13,095",https://www.worldcat.org/oclc/297408,https://en.wikipedia.org/wiki/To_the_Lighthouse,https://www.goodreads.com/book/show/59716.To_the_Lighthouse?ref=nav_sb_ss_1_17,unavailable,NA
124,178,138,C.S. Lewis,The Magician's Nephew,1955,English,4.05,"537,714","20,664",https://www.worldcat.org/oclc/28293421,https://en.wikipedia.org/wiki/The_Magician%27s_Nephew,https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew?ref=nav_sb_ss_1_21,NA_not-pub-domain,NA
125,7,17,J.K. Rowling,Harry Potter and the Order of the Phoenix,2003,English,4.5,"3,360,257","62,909",https://www.worldcat.org/oclc/51532204,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Order_of_the_Phoenix,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix?ref=nav_sb_ss_1_41,NA_not-pub-domain,NA
126,395,155,Ernest Hemingway,The Sun Also Rises,1926,English,3.8,"442,318","18,788",https://www.worldcat.org/oclc/34476446,https://en.wikipedia.org/wiki/The_Sun_Also_Rises,https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises?ref=nav_sb_ss_1_18,https://www.gutenberg.org/cache/epub/67138/pg67138.txt,NA
127,224,223,Pearl S. Buck,The Good Earth,1931,English,4,"248,991","11,610",https://www.worldcat.org/oclc/56471219,https://en.wikipedia.org/wiki/The_Good_Earth,https://www.goodreads.com/book/show/1078.The_Good_Earth?ref=nav_sb_ss_1_14,NA_not-pub-domain,NA
128,453,340,George Eliot,Silas Marner,1861,English,3.68,"86,616","4,871",https://www.worldcat.org/oclc/51272283,https://en.wikipedia.org/wiki/Silas_Marner,https://www.goodreads.com/book/show/54539.Silas_Marner?ref=nav_sb_ss_1_12,https://www.gutenberg.org/cache/epub/550/pg550.txt,NA
129,286,144,Gabriel García Márquez,Love in the Time of Cholera,1985,Spanish,3.94,"502,086","27,128",https://www.worldcat.org/oclc/17385275,https://en.wikipedia.org/wiki/Love_in_the_Time_of_Cholera,https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera?ref=nav_sb_ss_1_27,NA_not-pub-domain,unavailable
130,53,125,Daphne Du Maurier,Rebecca,1938,English,4.24,"624,347","39,700",https://www.worldcat.org/oclc/33984918,https://en.wikipedia.org/wiki/Rebecca_(novel),https://www.goodreads.com/book/show/17899948-rebecca?ref=nav_sb_ss_1_7,NA_not-pub-domain,NA
131,377,361,Thomas Hardy,Jude the Obscure,1895,English,3.83,"71,550","4,209",https://www.worldcat.org/oclc/25675908,https://en.wikipedia.org/wiki/Jude_the_Obscure,https://www.goodreads.com/book/show/50798.Jude_the_Obscure?ref=nav_sb_ss_1_16,https://www.gutenberg.org/cache/epub/153/pg153.txt,NA
132,461,3,Stephenie Meyer,Twilight,2005,English,3.65,"6,536,249","129,360",https://www.worldcat.org/oclc/70869941,https://en.wikipedia.org/wiki/Twilight_(Meyer_novel),https://www.goodreads.com/book/show/41865.Twilight?ref=nav_sb_ss_1_8,NA_not-pub-domain,NA
133,454,348,E.M. Forster,A Passage to India,1924,English,3.68,"79,995","4,164",https://www.worldcat.org/oclc/11261692,https://en.wikipedia.org/wiki/A_Passage_to_India,https://www.goodreads.com/book/show/45195.A_Passage_to_India?ref=nav_sb_ss_1_18,https://www.gutenberg.org/cache/epub/61221/pg61221.txt,NA
134,203,218,Albert Camus,The Plague,1947,French,4.02,"261,066","15,051",https://www.worldcat.org/oclc/22707530,https://en.wikipedia.org/wiki/The_Plague_(novel),https://www.goodreads.com/book/show/11989.The_Plague?ref=nav_sb_ss_1_10,NA_not-pub-domain,unavailable
135,287,401,Charles Dickens,Nicholas Nickleby,1839,English,3.94,"44,671","2,036",https://www.worldcat.org/oclc/1710732,https://en.wikipedia.org/wiki/Nicholas_Nickleby,https://www.goodreads.com/book/show/325085.Nicholas_Nickleby?ref=nav_sb_ss_1_17,https://www.gutenberg.org/cache/epub/967/pg967.txt,NA
136,483,229,John Steinbeck,The Pearl,1947,English,3.53,"236,508","12,432",https://www.worldcat.org/oclc/743812,https://en.wikipedia.org/wiki/The_Pearl_(novella),https://www.goodreads.com/book/show/5308.The_Pearl?ref=nav_sb_ss_1_9,NA_not-pub-domain,NA
137,491,292,Edith Wharton,Ethan Frome,1911,English,3.44,"126,656","7,443",https://www.worldcat.org/oclc/60856262,https://en.wikipedia.org/wiki/Ethan_Frome,https://www.goodreads.com/book/show/5246.Ethan_Frome?ref=nav_sb_ss_1_11,https://www.gutenberg.org/cache/epub/4517/pg4517.txt,NA
138,430,477,Murasaki Shikibu,The Tale of Genji,1021,Japanese,3.72,"13,275","1,385",https://www.worldcat.org/oclc/45845481,https://en.wikipedia.org/wiki/The_Tale_of_Genji,https://www.goodreads.com/book/show/7042.The_Tale_of_Genji?ref=nav_sb_ss_1_17,https://www.gutenberg.org/cache/epub/66057/pg66057.txt,unavailable
139,124,34,Lois Lowry,The Giver,1993,English,4.12,"2,459,417","78,879",https://www.worldcat.org/oclc/25872578,https://en.wikipedia.org/wiki/The_Giver,https://www.goodreads.com/book/show/3636.The_Giver?ref=nav_sb_ss_1_9,NA_not-pub-domain,NA
140,313,24,Paulo Coelho,The Alchemist,1988,Portuguese,3.91,"3,029,282","119,325",https://www.worldcat.org/oclc/26857452,https://en.wikipedia.org/wiki/The_Alchemist_(novel),https://www.goodreads.com/book/show/18144590-the-alchemist?ref=nav_sb_ss_1_13,NA_not-pub-domain,unavailable
