rank,rating_rank,num_rating_rank,author,title,pub_year,orig_lang,gr_avg_rating,gr_num_ratings,gr_num_reviews,oclc_marc_url,wiki_url,gr_url,pg_eng_url,pg_orig_url
425,479,476,Susan Patron,The Higher Power of Lucky,2006,English,3.58,"13,401","1,631",https://www.worldcat.org/oclc/61253844,https://en.wikipedia.org/wiki/The_Higher_Power_of_Lucky,https://www.goodreads.com/book/show/62151.The_Higher_Power_of_Lucky?ref=nav_sb_ss_1_25,NA_not-pub-domain,NA
426,500,491,Edward Bellamy,"Looking Backward, 2000-1887",1888,English,3.29,"6,214",809,https://www.worldcat.org/oclc/32431004,https://en.wikipedia.org/wiki/Looking_Backward,https://www.goodreads.com/book/show/296977.Looking_Backward?ref=nav_sb_ss_1_27,https://www.gutenberg.org/cache/epub/624/pg624.txt,NA
427,406,466,Henry James,The Wings of the Dove,1902,English,3.79,"17,030",750,https://www.worldcat.org/oclc/37991043,https://en.wikipedia.org/wiki/The_Wings_of_the_Dove,https://www.goodreads.com/book/show/124272.The_Wings_of_the_Dove?ref=nav_sb_ss_1_21,https://www.gutenberg.org/cache/epub/29452/pg29452.txt ; https://www.gutenberg.org/cache/epub/30059/pg30059.txt,NA
428,475,483,Betsy Cromer Byars,The Summer of the Swans,1970,English,3.59,"10,641",687,https://www.worldcat.org/oclc/77189,https://en.wikipedia.org/wiki/Summer_of_the_Swans,https://www.goodreads.com/book/show/325636.The_Summer_of_the_Swans?ref=nav_sb_ss_1_23,NA_not-pub-domain,NA
429,176,389,Choderlos de Laclos,Dangerous Liaisons,1782,French,4.06,"53,068","2,387",https://www.worldcat.org/oclc/72867975,https://en.wikipedia.org/wiki/Les_Liaisons_dangereuses,https://www.goodreads.com/book/show/326768.Dangerous_Liaisons?ref=nav_sb_ss_1_18,https://gutenberg.org/cache/epub/45512/pg45512.txt,https://www.gutenberg.org/cache/epub/52006/pg52006.txt
430,141,84,Michael Crichton,Jurassic Park,1990,English,4.1,"954,137","19,702",https://www.worldcat.org/oclc/22511027,https://en.wikipedia.org/wiki/Jurassic_Park_(novel),https://www.goodreads.com/book/show/40604658-jurassic-park?ref=nav_sb_ss_1_13,NA_not-pub-domain,NA
431,170,212,Sherman Alexie,The Absolutely True Diary of a Part-time Indian,2007,English,4.07,"269,101","27,450",https://www.worldcat.org/oclc/154698238,https://en.wikipedia.org/wiki/The_Absolutely_True_Diary_of_a_Part-Time_Indian,https://www.goodreads.com/book/show/693208.The_Absolutely_True_Diary_of_a_Part_Time_Indian?ref=nav_sb_ss_1_47,NA_not-pub-domain,NA
432,97,413,Susan Cooper,The Grey King,1975,English,4.16,"38,794","1,112",https://www.worldcat.org/oclc/1256990,https://en.wikipedia.org/wiki/The_Grey_King,https://www.goodreads.com/book/show/222576.The_Grey_King?ref=nav_sb_ss_1_13,NA_not-pub-domain,NA
433,222,420,Giuseppe Tomasi di Lampedusa,The Leopard,1958,Italian,4.01,"36,856","2,955",https://www.worldcat.org/oclc/312310,https://en.wikipedia.org/wiki/The_Leopard,https://www.goodreads.com/book/show/625094.The_Leopard?ref=nav_sb_ss_1_11,NA_not-pub-domain,unavailable
434,296,359,Jean M. Auel,The Mammoth Hunters,1985,English,3.94,"72,281","1,975",https://www.worldcat.org/oclc/12371377,https://en.wikipedia.org/wiki/The_Mammoth_Hunters,https://www.goodreads.com/book/show/49824.The_Mammoth_Hunters?ref=nav_sb_ss_1_19,NA_not-pub-domain,NA
435,142,351,E.B. White,The Trumpet of the Swan,1970,English,4.1,"77,490","3,061",https://www.worldcat.org/oclc/87808,https://en.wikipedia.org/wiki/The_Trumpet_of_the_Swan,https://www.goodreads.com/book/show/24335.The_Trumpet_of_the_Swan?ref=nav_sb_ss_1_23,NA_not-pub-domain,NA
436,127,173,Nicholas Sparks,The Lucky One,2008,English,4.12,"360,982","10,907",https://www.worldcat.org/oclc/233573959,https://en.wikipedia.org/wiki/The_Lucky_One_(novel),https://www.goodreads.com/book/show/3063499-the-lucky-one?ref=nav_sb_ss_1_13,NA_not-pub-domain,NA
437,68,355,Laura Ingalls Wilder,These Happy Golden Years,1943,English,4.21,"74,547","1,843",https://www.worldcat.org/oclc/224705,https://en.wikipedia.org/wiki/These_Happy_Golden_Years,https://www.goodreads.com/book/show/77770.These_Happy_Golden_Years?ref=nav_sb_ss_1_24,NA_not-pub-domain,NA
438,381,489,Sinclair Lewis,Arrowsmith,1925,English,3.83,"7,961",585,https://www.worldcat.org/oclc/39210992,https://en.wikipedia.org/wiki/Arrowsmith_(novel),https://www.goodreads.com/book/show/11389.Arrowsmith?ref=nav_sb_ss_1_10,https://www.gutenberg.org/cache/epub/70875/pg70875.txt,NA
439,382,377,Jean Craighead George,Julie of the Wolves,1972,English,3.83,"59,554","2,079",https://www.worldcat.org/oclc/578045,https://en.wikipedia.org/wiki/Julie_of_the_Wolves,https://www.goodreads.com/book/show/386286.Julie_of_the_Wolves?ref=nav_sb_ss_1_19,NA_not-pub-domain,NA
440,49,154,C.S. Lewis,The Screwtape Letters,1942,English,4.26,"443,871","16,224",https://www.worldcat.org/oclc/45137600,https://en.wikipedia.org/wiki/The_Screwtape_Letters,https://www.goodreads.com/book/show/8130077-the-screwtape-letters?ref=nav_sb_ss_1_21,NA_not-pub-domain,NA
441,192,314,Albert Camus,The Fall,1956,English,4.04,"105,008","6,121",https://www.worldcat.org/oclc/338497,https://en.wikipedia.org/wiki/The_Fall_(Camus_novel),https://www.goodreads.com/book/show/11991.The_Fall?ref=nav_sb_ss_4_8,NA_not-pub-domain,NA
442,389,216,Alexander McCall Smith,The No. 1 Ladies' Detective Agency,1998,English,3.81,"264,434","13,193",https://www.worldcat.org/oclc/49403832,https://en.wikipedia.org/wiki/The_No._1_Ladies%27_Detective_Agency_(novel),https://www.goodreads.com/book/show/7061.The_No_1_Ladies_Detective_Agency?ref=nav_sb_ss_1_34,NA_not-pub-domain,NA
443,162,438,James Patterson,Worst Case,2010,English,4.08,"30,053","1,597",https://www.worldcat.org/oclc/318971968,https://en.wikipedia.org/wiki/Worst_Case,https://www.goodreads.com/book/show/6455256-worst-case?ref=nav_sb_ss_1_10,NA_not-pub-domain,NA
