Title,Creator,Checkouts
The Screwtape Letters,C.S. Lewis,3098
The Things they Carried,Tim O'Brien,3082
Lady Chatterley's Lover,D.H. Lawrence,3076
For Whom the Bell Tolls,Ernest Hemingway,3048
My Sister's Keeper,Jodi Picoult,3022
Swann's Way,Marcel Proust,2995
The Jungle,Upton Sinclair,2974
The Choice,Nicholas Sparks,2959
Julie of the Wolves,Jean Craighead George,2907
All Quiet on the Western Front,Erich Maria Remarque,2900
Tuck Everlasting,Natalie Babbitt,2889
Around the World in Eighty Days,Jules Verne,2885
The Cricket in Times Square,George Selden,2883
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,2873
"Bud, Not Buddy",Christopher Paul Curtis,2848
Uncle Tom's Cabin,Harriet Beecher Stowe,2816
"Sarah, Plain and Tall",Patricia MacLachlan,2807
As I Lay Dying,William Faulkner,2787
The Time Machine,H.G. Wells,2780
Madame Bovary: Patterns of Provincial life,Gustave Flaubert,2738
Gone with the Wind,Margaret Mitchell,2736
Shiloh,Phyllis Reynolds Naylor,2736
The Secret Life of Bees,Sue Monk Kidd,2698
On the Banks of Plum Creek,Laura Ingalls Wilder,2663
"Roll of Thunder, Hear My Cry",Mildred D. Taylor,2655
The Death of Ivan Ilych,Leo Tolstoy,2640
A Room With a View,E.M. Forster,2634
Misery,Stephen King,2633
Carrie,Stephen King,2619
The Witch of Blackbird Pond,Elizabeth George Speare,2578
The Memory Keeper's Daughter,Kim Edwards,2578
The Voyage of the Dawn Treader,C.S. Lewis,2556
The Long Winter,Laura Ingalls Wilder,2539
Death Comes for the Archbishop,Willa Cather,2539
A Prayer for Owen Meany,John Irving,2507
The Swiss Family Robinson,Johann David Wyss,2498
Black Beauty,Anna Sewell,2466
The Five People You Meet In Heaven,Mitch Albom,2456
Worst Case,James Patterson,2455
The Silver Chair,C.S. Lewis,2449
Jurassic Park,Michael Crichton,2432
Far from the Madding Crowd,Thomas Hardy,2427
The Heart Is a Lonely Hunter,Carson McCullers,2426
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,2420
By the Shores of Silver Lake,Laura Ingalls Wilder,2408
Anne of the Island,L.M. Montgomery,2408
A Portrait of the Artist as a Young Man,James Joyce,2399
Robinson Crusoe,Daniel Defoe,2396
Little Town on the Prairie,Laura Ingalls Wilder,2384
Cannery Row,John Steinbeck,2373
Cross Country,James Patterson,2373
Gulliver's Travels,Jonathan Swift,2341
The Quiet American,Graham Greene,2312
P Is for Peril,Sue Grafton,2310
Memoirs of a Geisha,Arthur Golden,2300
